limit_pct,period,Date,equity
-0.7,TRAIN,2025-03-14,86.017608412085
-0.7,TRAIN,2025-03-17,86.49442690297995
-0.7,TRAIN,2025-03-18,86.7604268668964
-0.7,TRAIN,2025-03-19,86.78091407555053
-0.7,TRAIN,2025-03-20,86.78091407555053
-0.7,TRAIN,2025-03-21,87.02314820683212
-0.7,TRAIN,2025-03-24,87.60748982457561
-0.7,TRAIN,2025-03-25,86.49801659589467
-0.7,TRAIN,2025-03-26,84.00862662183754
-0.7,TRAIN,2025-03-27,81.49590155655375
-0.7,TRAIN,2025-03-28,80.01301929677463
-0.7,TRAIN,2025-03-31,77.5512299525239
-0.7,TRAIN,2025-04-01,75.22948867528146
-0.7,TRAIN,2025-04-02,72.64645769050597
-0.7,TRAIN,2025-04-03,69.62295292773658
-0.7,TRAIN,2025-04-04,71.51354066279832
-0.7,TRAIN,2025-04-07,73.1292013486087
-0.7,TRAIN,2025-04-08,75.19039679097473
-0.7,TRAIN,2025-04-09,78.28091687113697
-0.7,TRAIN,2025-04-10,80.61677995772638
-0.7,TRAIN,2025-04-11,80.79897125052084
-0.7,TRAIN,2025-04-14,81.00062024632847
-0.7,TRAIN,2025-04-15,82.69613607591351
-0.7,TRAIN,2025-04-16,84.79251486786616
-0.7,TRAIN,2025-04-17,86.69773499124327
-0.7,TRAIN,2025-04-18,87.91907967126697
-0.7,TRAIN,2025-04-21,88.41125246430964
-0.7,TRAIN,2025-04-22,87.48387126109736
-0.7,TRAIN,2025-04-23,87.57801780082524
-0.7,TRAIN,2025-04-24,89.01468308894404
-0.7,TRAIN,2025-04-25,89.02851550649072
-0.7,TRAIN,2025-04-28,89.06197976874823
-0.7,TRAIN,2025-04-29,89.06197976874823
-0.7,TRAIN,2025-04-30,88.7734344496812
-0.7,TRAIN,2025-05-01,89.1527490159753
-0.7,TRAIN,2025-05-02,89.83768288442494
-0.7,TRAIN,2025-05-05,89.83768288442494
-0.7,TRAIN,2025-05-06,89.83768288442494
-0.7,TRAIN,2025-05-07,91.65040234269767
-0.7,TRAIN,2025-05-08,92.21048746992363
-0.7,TRAIN,2025-05-09,91.94261204337334
-0.7,TRAIN,2025-05-12,90.8936374214678
-0.7,TRAIN,2025-05-13,90.2924475401326
-0.7,TRAIN,2025-05-14,90.44841188762167
-0.7,TRAIN,2025-05-15,90.68865567281534
-0.7,TRAIN,2025-05-16,90.03363416568591
-0.7,TRAIN,2025-05-19,88.57513347794573
-0.7,TRAIN,2025-05-20,88.08388274897528
-0.7,TRAIN,2025-05-21,89.1069829930382
-0.7,TRAIN,2025-05-22,89.16574461663353
-0.7,TRAIN,2025-05-23,90.46973758977936
-0.7,TRAIN,2025-05-26,91.77320645088191
-0.7,TRAIN,2025-05-27,92.30137871721294
-0.7,TRAIN,2025-05-28,92.69304014518785
-0.7,TRAIN,2025-05-29,92.82193321184839
-0.7,TRAIN,2025-05-30,93.02597856463309
-0.7,TRAIN,2025-06-02,93.07061740717243
-0.7,TRAIN,2025-06-03,93.00383678361995
-0.7,TRAIN,2025-06-04,92.9162474326846
-0.7,TRAIN,2025-06-05,92.91522162428697
-0.7,TRAIN,2025-06-06,93.31090038595062
-0.7,TRAIN,2025-06-09,93.64598011237103
-0.7,TRAIN,2025-06-10,92.68397515342362
-0.7,TRAIN,2025-06-11,91.90592105806394
-0.7,TRAIN,2025-06-12,92.21515774713713
